Subject,Predicate,Object
Theme 1,hasTitle,Introduction to GenAI
Theme 1,hasLearningHours,3 hours
Theme 1,aimsTo,Explain and define GenAI technology
Theme 1,aimsTo,Understand  in brief  how these technologies work
Theme 1,aimsTo,Recognise different GenAI tools and platforms
Theme 1,aimsTo,Understand the implications for higher education
Theme 1,hasLearningOutcome,LO1: Recognise what is meant by the terminology used around GenAI  with a particular focus on its use within higher education
Theme 1,hasLearningActivity,Learning Activity 1: Acquisition (self-study)
Theme 1,hasLearningActivity,Learning Activity 2: Practice
Theme 1,hasLearningActivity,Learning Activity 3: Acquisition (supplementary resources)
Theme 1,hasSynchronousSession,No synchronous session this week
Theme 2,hasTitle,GenAI tools: capabilities and limitations
Theme 2,hasLearningHours,4 hours
Theme 2,aimsTo,Explore the capabilities of GenAI tools
Theme 2,aimsTo,Identify the limitations and risks of using these tools in teaching and learning
Theme 2,aimsTo,Consider strategies to overcome risks when using GenAI in teaching and learning
Theme 2,hasLearningOutcome,LO1: Recognise what is meant by the terminology used around GenAI  with a particular focus on its use within higher education
Theme 2,hasLearningActivity,Learning Activity 1: Practice
Theme 2,hasLearningActivity,Learning Activity 2: Investigation
Theme 2,hasLearningActivity,Learning Activity 3: Discussion
Theme 2,hasLearningActivity,Learning Activity 4: Acquisition (self-study)
Theme 2,hasLearningActivity,Learning Activity 5: Acquisition (supplementary resources)
Theme 2,hasSynchronousSession,Wednesday 4th June (12:00–13:00)
Theme 2,hasTriadActivity,First triad meeting to discuss potential  benefits  and risks of using GenAI in discipline
Theme 2,triadGoal,Identify one critical need or opportunity related to embedding GenAI in teaching practice
Theme 3,hasTitle,The Challenges of using GenAI for teaching  learning and assessment
Theme 3,hasLearningHours,4 hours
Theme 3,aimsTo,Explore the challenges of GenAI tools when using them in teaching  learning and assessment
Theme 3,aimsTo,Identify academic staff and student perspectives regarding these challenges
Theme 3,aimsTo,Discuss different approaches on whether to incorporate GenAI in assessment design
Theme 3,hasLearningOutcome,LO2: Evaluate the use of GenAI in teaching  learning and assessment with a focus on 'what  why and how'
Theme 3,hasLearningOutcome,LO3: Explore and reflect on pedagogical practices within the disciplines which incorporate the use of GenAI
Theme 3,hasLearningActivity,Learning Activity 1: Acquisition (self-study) — Note reflections and submit to course facilitators
Theme 3,hasLearningActivity,Learning Activity 2: Discussion
Theme 3,hasLearningActivity,Learning Activity 3: Acquisition (supplementary resources)
Theme 3,hasSynchronousSession,11th June (12:00–13:00)
Theme 3,requiresPreSessionCompletion,Learning Activities 1 and 2 to be completed before synchronous session
Theme 4,hasTitle,Exploring the opportunities of GenAI for teaching and learning
Theme 4,hasLearningHours,4 hours
Theme 4,aimsTo,Explore the opportunities to embed GenAI tools in teaching  learning and assessment
Theme 4,aimsTo,Identify academic staff and student roles regarding these opportunities
Theme 4,aimsTo,Analyse the PAIR Framework for using GenAI in teaching  learning and assessment
Theme 4,aimsTo,Analyse the Traffic Light model for using GenAI in teaching  learning and assessment
Theme 4,hasLearningOutcome,LO2: Evaluate the use of GenAI in teaching  learning and assessment with a focus on 'what  why and how'
Theme 4,hasLearningOutcome,LO3: Explore and reflect on pedagogical practices within the disciplines which incorporate the use of GenAI
Theme 4,hasLearningActivity,Learning Activity 1: Production
Theme 4,hasLearningActivity,Learning Activity 2: Acquisition (self-study)
Theme 4,hasLearningActivity,Learning Activity 3: Practice
Theme 4,hasLearningActivity,Learning Activity 4: Acquisition (supplementary resources)
Theme 4,hasSynchronousSession,18th June (12:00–13:00)
Theme 4,hasTriadActivity,Second triad meeting to share draft session plan for embedding GenAI in teaching practice
Theme 4,triadGoal,Offer and receive constructive peer feedback to refine session plan
Theme 4,requiresPreSessionCompletion,Learning Activity 1 to be completed before synchronous session
Theme 5,hasTitle,Examples from the Disciplines
Theme 5,hasLearningHours,3 hours
Theme 5,aimsTo,Recognise different approaches and explorative practices using GenAI within the disciplines
Theme 5,aimsTo,Define a personal approach to embedding GenAI within your own practice
Theme 5,hasLearningOutcome,LO3: Explore and reflect on pedagogical practices within the disciplines which incorporate the use of GenAI
Theme 5,hasLearningActivity,Learning Activity 1: Acquisition (self-study of GenAI use cases)
Theme 5,hasLearningActivity,Learning Activity 2: Acquisition (supplementary resources)
